"Fichier","TitreCatalogue","ArtisteCatalogue","SongId","VideoUrlProposee","VideoUrlActuelle","Score","Correspondance","Action","MeilleuresPistes"
"","Siffler sur la colline","Joe Dassin","79","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Somewhereonly we know","Keane","83","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Tout","Lara Fabian","86","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","si tu m'aimes","Lara Fabian","87","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Strani amore","Laura Pausini","88","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Belle ile en mer","Laurent Voulzy","89","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Le pouvoir des fleurs","Laurent Voulzy","90","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Je vole","Louane","94","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Piensa en mi","Luz Casal","96","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Without you","Maria Carey","98","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Hijo della luna","Mecano","102","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
