"Fichier","TitreCatalogue","ArtisteCatalogue","SongId","VideoUrlProposee","VideoUrlActuelle","Score","Correspondance","Action","Details"
"Indochine - J'ai demandé à la lune.mp4","J'ai demandé à la lune","Indochine","72","/karaoke/Indochine%20-%20J'ai%20demand%C3%A9%20%C3%A0%20la%20lune.mp4","/karaoke/Indochine%20-%20J'ai%20demand%C3%A9%20%C3%A0%20la%20lune.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Indochine - L'aventurier.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Irene Cara - Flashdance What a Feeling.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Isabelle Boulay - Dis, quand reviendras-tu.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Isabelle Boulay - Il suffirait de presque rien.mp4","Il suffirait de presque rien","Isabelle Boulay","74","/karaoke/Isabelle%20Boulay%20-%20Il%20suffirait%20de%20presque%20rien.mp4","/karaoke/Isabelle%20Boulay%20-%20Il%20suffirait%20de%20presque%20rien.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Jackie Quartz - Mise au point.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Jacques Brel & Céline Dion - Quand on n'a que l'amour.mp4","Quand on n'a que l'amour","Jacques Brel","19","/karaoke/Jacques%20Brel%20%26%20C%C3%A9line%20Dion%20-%20Quand%20on%20n'a%20que%20l'amour.mp4","/karaoke/Jacques%20Brel%20%26%20C%C3%A9line%20Dion%20-%20Quand%20on%20n'a%20que%20l'amour.mp4","96","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 90"
"Jane Birkin - Di doo dah.mp4","Di doo dah","Jane Birkin","75","/karaoke/Jane%20Birkin%20-%20Di%20doo%20dah.mp4","/karaoke/Jane%20Birkin%20-%20Di%20doo%20dah.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Jean-Jacques Goldman - Encore un matin.mp4","Encore un matin","Jean-Jacques Goldman","78","/karaoke/Jean-Jacques%20Goldman%20-%20Encore%20un%20matin.mp4","/karaoke/Jean-Jacques%20Goldman%20-%20Encore%20un%20matin.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Jean-Jacques Goldman - Envole-moi.mp4","Envole moi","Jean-Jacques Goldman","77","/karaoke/Jean-Jacques%20Goldman%20-%20Envole-moi.mp4","/karaoke/Jean-Jacques%20Goldman%20-%20Envole-moi.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Jean-Jacques Goldman - Quand la musique est bonne.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Jeanette - Porque te vas.mp4","Porque te vas","Jeanette","76","/karaoke/Jeanette%20-%20Porque%20te%20vas.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Jeanne Mas - Toute première fois.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Joe Dassin   Siffler sur la colline.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Joe Dassin - Et si tu n'existais pas.mp4","Et si tu n'existais pas","Joe Dassin","80","/karaoke/Joe%20Dassin%20-%20Et%20si%20tu%20n'existais%20pas.mp4","/karaoke/Joe%20Dassin%20-%20Et%20si%20tu%20n'existais%20pas.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"John Lennon - Imagine.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
